Attrition_Flag,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Contacts_Count_12_mon,Avg_Utilization_Ratio,Total_Trans_Amt,Months_Inactive_12_mon,Total_Relationship_Count,Total_Amt_Chng_Q4_Q1
1,33,0.571,1608,2,0.638,1328,3,2,0.587
1,36,1.118,1682,3,0.102,1579,4,3,0.631
1,28,0.556,1718,2,0.131,937,1,5,0.607
1,37,2.083,1814,0,0.078,1749,3,6,1.178
1,29,1.417,837,3,0.255,1424,1,5,1.859
1,41,0.783,2217,2,0.716,2011,3,5,0.799
1,31,0.632,1250,3,0.609,1208,2,5,0.728
1,24,1.0,583,0,0.405,1259,3,2,0.888
1,26,0.368,1418,2,0.15,1319,3,2,0.612
1,27,2.0,2303,3,0.154,949,2,5,0.804
1,30,1.308,1343,2,0.605,1338,3,5,0.869
1,26,0.444,1577,0,0.275,1554,3,6,0.657
1,32,0.455,2061,3,0.06,1350,2,2,0.722
1,44,0.76,1130,2,0.162,1694,2,5,0.963
1,40,0.538,1707,0,0.07,1678,3,3,0.816
1,43,0.536,0,1,0.0,2069,1,4,0.742
1,23,0.438,2030,2,0.094,1222,3,6,0.776
1,37,0.423,0,2,0.0,1536,3,2,0.788
1,31,2.1,2475,1,0.256,1400,1,2,0.697
1,28,1.154,930,2,0.186,1050,2,2,0.885
1,33,1.2,1047,0,0.648,1389,2,3,0.984
1,29,0.611,0,2,0.0,1184,2,5,0.656
1,42,1.0,2223,2,0.806,2093,6,5,1.32
0,11,0.833,1381,3,0.167,678,3,2,0.798
1,29,1.417,2154,2,0.153,1467,3,2,1.084
1,27,0.5,2169,2,0.412,1219,3,5,0.374
1,36,0.565,1912,1,0.79,1730,2,4,1.256
1,28,0.647,2070,0,0.732,1025,2,4,0.541
1,33,0.833,1539,2,0.123,1165,5,5,0.645
1,55,0.719,1297,1,0.221,2133,2,4,1.012
1,13,0.182,0,3,0.0,1122,2,3,0.448
1,22,1.75,1926,2,0.2,1083,1,4,0.549
1,23,1.875,2177,3,0.063,1234,3,3,1.32
1,23,1.875,2376,0,0.785,1277,3,3,1.252
1,35,0.944,2517,3,0.771,1843,3,4,0.952
1,49,0.581,1355,2,0.224,1747,2,3,0.685
1,22,1.444,1823,2,0.795,1166,3,3,0.617
1,31,0.824,2505,2,0.187,1326,2,6,0.627
1,36,1.0,2517,3,0.583,1619,3,4,0.944
1,16,0.333,1069,0,0.316,1285,2,5,0.581
1,28,1.0,2242,3,0.447,1142,1,4,0.816
1,46,0.643,1605,0,0.625,1190,1,4,0.574
1,24,0.714,1785,2,0.514,1052,1,3,1.051
1,38,0.727,1699,3,0.049,1628,3,5,0.771
1,32,0.882,1844,2,0.557,1740,3,6,0.986
1,29,0.812,2462,3,0.955,1378,3,4,1.707
0,26,0.444,2517,2,0.867,996,3,4,0.821
1,32,0.6,2321,1,0.846,1389,2,3,1.315
1,38,1.0,1571,3,0.756,1365,3,5,1.031
1,43,0.87,1942,2,0.31,1715,1,5,1.027
1,25,0.786,1560,0,0.2,1582,3,6,0.827
1,22,0.692,1692,3,0.62,1220,3,6,0.62
0,13,0.182,537,3,0.373,715,4,2,0.819
1,49,1.227,1710,2,0.105,2552,1,3,1.223
1,31,0.938,0,3,0.0,1106,2,3,0.507
1,34,1.833,2439,0,0.935,1731,1,6,1.269
1,32,0.6,1173,2,0.155,1435,3,5,0.541
1,38,0.652,2517,3,0.111,1882,3,5,0.994
1,34,0.789,1648,2,0.435,2058,1,5,1.227
1,32,1.462,2517,2,0.932,1658,4,4,1.019
1,32,0.6,2117,3,0.829,1334,1,3,1.049
1,29,0.812,1090,2,0.463,1441,3,5,0.751
1,39,1.167,0,0,0.0,1371,2,6,0.939
1,38,0.583,1375,2,0.953,1991,3,6,0.683
1,22,1.444,755,3,0.07,1278,2,6,1.166
1,39,1.167,1503,0,0.188,1734,2,3,0.797
1,34,1.125,2517,2,0.135,1330,2,3,0.703
1,31,0.722,1465,3,0.262,1787,1,4,1.503
1,32,0.524,2165,2,0.063,1672,3,6,0.837
1,41,1.05,0,4,0.0,1439,3,6,1.068
1,31,0.938,2031,0,0.82,1558,1,5,1.284
1,47,0.679,2274,3,0.066,1795,3,6,0.788
1,22,0.375,1440,3,0.616,893,2,6,0.431
1,27,0.588,0,2,0.0,1099,3,6,0.844
1,23,1.091,848,3,0.057,1408,3,3,0.762
1,15,2.75,969,3,0.595,1893,3,6,0.999
1,31,1.385,1644,2,0.521,1151,2,5,1.052
1,31,0.938,1270,0,0.268,1519,3,5,0.93
1,25,0.786,1785,2,0.09,1245,3,5,0.572
1,27,0.286,793,2,0.035,1102,3,3,0.685
1,33,0.737,1799,0,0.221,1402,3,5,0.566
1,30,1.308,1521,3,0.405,1060,2,6,0.974
1,35,1.188,1411,3,0.885,1459,5,3,0.817
1,39,0.444,1403,0,0.546,1456,2,4,0.886
1,48,1.0,1586,2,0.087,1439,3,6,0.921
1,24,1.182,1766,3,0.569,1353,3,6,0.828
1,32,0.391,1560,2,0.648,1173,3,5,0.751
1,28,1.0,1955,3,0.08,1746,2,5,1.174
1,28,0.867,726,3,0.047,1279,2,3,0.556
1,29,0.261,2250,0,0.183,1307,2,4,0.484
1,37,1.176,1818,3,0.639,1473,2,6,0.711
1,37,0.762,1794,3,0.183,1805,2,6,0.778
1,23,1.3,2381,3,0.329,1421,3,4,0.996
1,37,1.312,1576,2,0.678,1272,3,6,0.728
1,34,0.619,1980,3,0.162,1409,2,3,0.616
0,15,0.364,1547,3,0.274,647,5,2,1.087
1,25,0.667,1617,2,0.161,1275,3,3,0.578
1,27,0.588,1915,0,0.865,1270,1,6,0.794
1,37,0.947,1480,3,0.73,1702,2,3,0.979
1,26,1.0,1162,2,0.183,1256,2,6,0.644
1,53,0.656,2008,2,0.512,3178,1,6,0.944
1,29,1.636,1233,3,0.134,1626,1,5,1.521
1,33,0.5,1288,1,0.137,1562,1,6,0.597
1,57,0.727,1346,3,0.692,1960,3,5,1.052
1,38,1.235,1554,0,0.162,1154,1,3,1.087
1,38,0.727,843,2,0.03,1629,1,5,0.637
1,25,0.923,1662,1,0.067,1226,3,3,0.693
1,27,0.929,2233,3,0.587,1743,3,5,1.095
1,39,0.444,1306,2,0.478,1139,2,5,0.791
1,21,0.4,1253,3,0.098,1073,3,6,0.638
0,17,0.7,1120,3,0.361,683,3,3,1.045
1,32,0.684,0,0,0.0,1159,3,3,0.511
1,47,0.958,2086,3,0.06,1859,1,6,0.986
1,28,0.867,2094,2,0.07,1205,5,6,0.648
1,37,0.37,2033,0,0.312,1409,3,5,0.83
0,18,0.059,0,3,0.0,1000,3,3,0.742
1,39,0.3,0,0,0.0,1209,2,6,0.61
1,25,0.786,1254,1,0.036,1366,2,5,0.869
1,44,0.375,0,2,0.0,1161,3,5,0.466
1,38,0.407,1675,2,0.539,1512,3,4,0.781
1,35,1.333,913,1,0.36,1750,1,4,1.059
1,24,0.846,1954,0,0.15,1170,3,6,1.139
1,50,0.613,968,1,0.395,2218,3,3,1.081
1,33,0.833,1249,2,0.077,1198,2,3,1.01
1,26,0.444,1965,0,0.243,1329,2,3,0.637
0,36,1.118,1673,3,0.867,857,3,3,0.835
1,30,1.143,2517,2,0.805,1470,3,3,0.589
1,25,1.778,1454,2,0.168,1435,3,3,0.708
1,22,0.833,0,3,0.0,1093,1,3,0.503
0,20,0.818,0,2,0.0,715,3,6,0.727
1,42,0.909,2517,2,0.103,1512,2,5,0.912
1,43,0.955,0,3,0.0,2399,2,6,1.636
1,22,1.2,785,3,0.19,906,3,6,0.543
1,16,1.286,1930,2,0.179,1052,2,3,0.75
1,11,0.833,1001,3,0.145,975,3,4,0.786
0,20,0.667,1299,3,0.093,783,3,5,0.842
1,21,0.909,1916,0,0.064,990,1,6,0.781
1,24,0.5,0,1,0.0,1097,1,4,0.576
0,35,0.522,0,3,0.0,901,3,2,0.917
1,41,0.864,820,1,0.087,1327,3,5,0.64
1,31,0.722,1851,2,0.529,1814,1,6,2.023
1,34,1.429,2388,3,0.227,1365,3,4,0.777
1,34,0.889,0,0,0.0,1058,3,3,0.876
1,38,0.9,0,2,0.0,1476,1,6,0.785
1,36,0.565,1627,3,0.706,1230,1,6,0.747
1,44,0.833,2081,3,0.146,1581,1,3,0.909
1,29,0.933,1257,2,0.262,1534,1,3,1.134
1,39,1.438,1727,3,0.075,1612,2,4,0.693
1,36,0.636,2280,3,0.099,1302,1,6,0.674
1,40,0.481,2517,0,0.804,1439,1,3,0.602
1,45,0.452,1794,2,0.309,1724,3,5,0.564
1,35,0.944,1390,3,0.202,1784,2,5,1.205
1,29,1.071,1531,2,0.044,1156,2,3,0.862
1,49,1.13,1469,1,0.708,2556,2,6,1.322
1,37,0.37,0,0,0.0,1590,3,3,0.845
0,19,0.727,0,2,0.0,884,2,1,1.005
0,25,0.923,1518,1,0.766,973,1,1,1.019
1,30,0.875,0,1,0.0,1447,2,3,0.741
1,26,0.625,877,2,0.059,1150,3,5,0.772
1,21,0.615,1143,2,0.039,1193,3,3,0.512
0,21,0.5,0,2,0.0,706,3,3,0.967
1,23,0.643,0,3,0.0,1257,1,6,0.563
1,35,0.75,0,2,0.0,1303,1,5,0.913
1,39,0.5,0,0,0.0,1306,1,3,0.67
0,20,0.429,0,3,0.0,748,3,1,0.659
1,42,2.0,1565,2,0.053,1774,2,6,0.674
1,25,1.5,1910,1,0.381,1209,1,5,0.863
1,31,0.632,1074,2,0.312,1074,1,6,0.67
1,50,0.786,1078,2,0.046,1786,2,6,0.79
1,36,0.714,1611,2,0.529,1456,1,4,0.74
1,25,1.083,2192,1,0.15,1300,2,5,0.898
1,42,0.235,1654,2,0.428,1470,2,3,0.491
0,25,0.562,1911,3,0.112,715,1,2,0.528
1,24,1.0,839,3,0.036,1198,2,4,1.326
1,43,1.048,1208,0,0.041,1556,2,4,0.957
1,30,1.5,2061,3,0.147,1606,2,5,2.271
0,31,0.409,2517,2,0.85,929,3,2,1.046
1,54,0.421,1385,0,0.075,1606,3,6,0.565
1,32,0.6,1138,2,0.517,1199,3,5,0.675
1,60,0.622,1483,2,0.72,2400,3,4,1.362
1,44,0.76,1660,2,0.067,1337,2,4,0.588
1,33,0.833,896,2,0.056,1270,2,3,0.954
0,14,0.4,0,3,0.0,654,2,2,0.885
1,54,0.688,1526,0,0.548,1909,3,3,0.942
0,25,0.562,0,2,0.0,922,3,3,1.035
1,42,0.355,2235,2,0.436,1158,3,5,0.542
1,26,0.444,2362,2,0.82,1323,6,6,0.89
1,35,0.667,0,0,0.0,1025,1,4,0.481
1,35,1.5,2149,3,0.179,1700,1,5,0.801
1,51,1.217,1597,3,0.046,1628,3,6,0.858
1,32,0.684,885,2,0.201,1377,2,5,1.04
1,33,0.65,723,3,0.039,1517,3,4,0.815
1,25,1.083,1972,2,0.523,1528,3,5,0.783
1,24,0.6,1748,3,0.081,1329,1,5,0.715
1,33,0.737,774,2,0.403,1505,1,4,0.965
1,38,0.462,1713,2,0.171,1172,3,5,0.96
1,39,1.294,2098,2,0.176,1646,2,3,1.16
1,32,1.286,1529,0,0.671,1693,2,4,1.26
1,23,0.211,0,2,0.0,1336,1,3,0.781
1,19,0.727,1351,3,0.044,1289,1,5,0.759
1,32,0.778,1923,0,0.079,1416,1,4,0.505
1,33,1.2,0,2,0.0,1608,1,6,0.94
1,51,0.545,0,2,0.0,1885,1,3,0.75
1,53,0.606,2216,2,0.752,1744,3,3,0.76
1,48,0.655,1112,0,0.194,1922,1,6,1.519
1,29,0.381,1833,2,0.055,1448,2,5,0.428
